# id	input $/M	output $/M	cache read $/M	context
# OpenRouter public model list, 2026-09-22. tau refreshes this from the same endpoint.
anthropic/claude-3-haiku	0.25	1.25	0.03	200000
anthropic/claude-fable-5	10.0	50.0	1.0	1000000
anthropic/claude-fable-5.1	10.0	50.0	0.25	1000000
anthropic/claude-haiku-4.5	1.0	5.0	0.1	200000
anthropic/claude-opus-4.1	15.0	75.0	1.5	200000
anthropic/claude-opus-4.5	5.0	25.0	0.5	200000
anthropic/claude-opus-4.6	5.0	25.0	0.5	1000000
anthropic/claude-opus-4.7	5.0	25.0	0.5	1000000
anthropic/claude-opus-4.8	5.0	25.0	0.5	1000000
anthropic/claude-opus-5	5.0	25.0	0.5	1000000
anthropic/claude-opus-5.5	4.0	20.0	0.2	1000000
anthropic/claude-sonnet-4	3.0	15.0	0.3	200000
anthropic/claude-sonnet-4.5	3.0	15.0	0.3	1000000
anthropic/claude-sonnet-4.6	3.0	15.0	0.3	1000000
anthropic/claude-sonnet-5	2.0	10.0	0.2	1000000
deepseek/deepseek-chat	0.32	0.89		163840
deepseek/deepseek-chat-v3-0324	0.25	1.0		163840
deepseek/deepseek-chat-v3.1	0.25	0.95	0.13	163840
deepseek/deepseek-r1	0.7	2.5		64000
deepseek/deepseek-r1-0528	0.5	2.15	0.35	163840
deepseek/deepseek-r1-distill-llama-70b	0.8	0.8		8192
deepseek/deepseek-v3.1-terminus	0.27	1.0	0.135	163840
deepseek/deepseek-v3.2	0.269	0.4	0.1345	163840
deepseek/deepseek-v3.2-exp	0.27	0.41		163840
deepseek/deepseek-v4-flash	0.049	0.098	0.0098	1048576
deepseek/deepseek-v4-flash-0731	0.04	0.64	0.016	1310720
deepseek/deepseek-v4-flash-vision-exp	0.22	0.66	0.007	1048576
deepseek/deepseek-v4-pro	0.8991	1.7981	0.0749	1048576
deepseek/deepseek-v4-pro-0813	0.66	1.98	0.022	1048576
deepseek/deepseek-v4.1-flash	0.15	0.6	0.003	1048576
google/gemini-2.5-flash	0.3	2.5	0.03	1048576
google/gemini-2.5-flash-image	0.3	2.5	0.03	32768
google/gemini-2.5-flash-lite	0.1	0.4	0.01	1048576
google/gemini-2.5-pro	1.25	10.0	0.125	1048576
google/gemini-2.5-pro-preview	1.25	10.0	0.125	1048576
google/gemini-3-flash-preview	0.5	3.0	0.05	1048576
google/gemini-3-pro-image	2.0	12.0	0.2	131072
google/gemini-3-pro-image-preview	2.0	12.0	0.2	65536
google/gemini-3.1-flash-image	0.5	3.0		131072
google/gemini-3.1-flash-image-preview	0.5	3.0		65536
google/gemini-3.1-flash-lite	0.25	1.5	0.025	1048576
google/gemini-3.1-flash-lite-image	0.25	1.5		65536
google/gemini-3.1-flash-lite-preview	0.25	1.5	0.025	1048576
google/gemini-3.1-pro-preview	2.0	12.0	0.2	1048576
google/gemini-3.1-pro-preview-customtools	2.0	12.0	0.2	1048576
google/gemini-3.5-flash	1.5	9.0	0.15	1048576
google/gemini-3.5-flash-lite	0.3	2.5	0.03	1048576
google/gemini-3.6-flash	0.75	3.75	0.075	1048576
google/gemini-3.7-flash	0.75	3.75	0.075	1048576
google/gemini-3.8-flash	0.75	3.75	0.075	1048576
google/gemma-2-27b-it	0.65	0.65		8192
google/gemma-3-12b-it	0.05	0.15		131072
google/gemma-3-27b-it	0.08	0.45	0.04	131072
google/gemma-3-4b-it	0.05	0.1		131072
google/gemma-4-26b-a4b-it	0.09	0.3	0.05	262144
google/gemma-4-31b-it	0.09	0.34	0.05	262144
mistralai/codestral-2508	0.3	0.9	0.03	256000
mistralai/devstral-2512	0.4	2.0	0.04	262144
mistralai/ministral-14b-2512	0.2	0.2	0.02	262144
mistralai/ministral-3b-2512	0.1	0.1	0.01	131072
mistralai/ministral-8b-2512	0.15	0.15	0.015	262144
mistralai/mistral-large	2.0	6.0	0.2	128000
mistralai/mistral-large-2407	2.0	6.0	0.2	131072
mistralai/mistral-medium-3	0.4	2.0	0.04	131072
mistralai/mistral-medium-3-5	1.5	7.5		262144
mistralai/mistral-medium-3.1	0.4	2.0	0.04	131072
mistralai/mistral-nemo	0.019	0.03		131072
mistralai/mistral-saba	0.2	0.6	0.02	32768
mistralai/mistral-small-24b-instruct-2501	0.05	0.08		32768
mistralai/mistral-small-2603	0.15	0.6	0.015	262144
mistralai/mistral-small-3.1-24b-instruct	0.351	0.555		128000
mistralai/mistral-small-3.2-24b-instruct	0.0938	0.25		256000
mistralai/mixtral-8x22b-instruct	2.0	6.0	0.2	65536
mistralai/voxtral-small-24b-2507	0.1	0.3	0.01	32768
moonshotai/kimi-k2	0.57	2.3		131072
moonshotai/kimi-k2-0905	0.6	2.5		262144
moonshotai/kimi-k2-thinking	0.6	2.5	0.15	262144
moonshotai/kimi-k2.5	0.45	2.25	0.07	262144
moonshotai/kimi-k2.6	0.95	4.0	0.16	262144
moonshotai/kimi-k2.7-code	0.7062	3.3	0.18	262144
moonshotai/kimi-k3	3.0	15.0	0.3	1048576
openai/gpt-3.5-turbo	0.5	1.5		16385
openai/gpt-3.5-turbo-0613	1.0	2.0		4095
openai/gpt-3.5-turbo-16k	3.0	4.0		16385
openai/gpt-3.5-turbo-instruct	1.5	2.0		4095
openai/gpt-4	30.0	60.0		8191
openai/gpt-4-turbo	10.0	30.0		128000
openai/gpt-4.1	2.0	8.0	0.5	1047576
openai/gpt-4.1-mini	0.4	1.6	0.1	1047576
openai/gpt-4.1-nano	0.1	0.4	0.025	1047576
openai/gpt-4o	2.5	10.0	1.25	128000
openai/gpt-4o-2024-05-13	5.0	15.0		128000
openai/gpt-4o-2024-08-06	2.5	10.0	1.25	128000
openai/gpt-4o-2024-11-20	2.5	10.0	1.25	128000
openai/gpt-4o-mini	0.15	0.6	0.075	128000
openai/gpt-4o-mini-2024-07-18	0.15	0.6	0.075	128000
openai/gpt-5	1.25	10.0	0.125	400000
openai/gpt-5-image	10.0	10.0	1.25	400000
openai/gpt-5-image-mini	2.5	2.0	0.25	400000
openai/gpt-5-mini	0.25	2.0	0.025	400000
openai/gpt-5-nano	0.05	0.4	0.005	400000
openai/gpt-5-pro	15.0	120.0		400000
openai/gpt-5.1	1.25	10.0	0.125	400000
openai/gpt-5.1-codex	1.25	10.0	0.13	400000
openai/gpt-5.1-codex-max	1.25	10.0	0.125	400000
openai/gpt-5.1-codex-mini	0.25	2.0	0.03	400000
openai/gpt-5.2	1.75	14.0	0.175	400000
openai/gpt-5.2-chat	1.75	14.0	0.175	128000
openai/gpt-5.2-codex	1.75	14.0	0.175	400000
openai/gpt-5.2-pro	21.0	168.0		400000
openai/gpt-5.3-codex	1.75	14.0	0.175	400000
openai/gpt-5.4	2.5	15.0	0.25	1050000
openai/gpt-5.4-image-2	8.0	15.0	2.0	272000
openai/gpt-5.4-mini	0.75	4.5	0.075	400000
openai/gpt-5.4-nano	0.2	1.25	0.02	400000
openai/gpt-5.4-pro	30.0	180.0		1050000
openai/gpt-5.5	5.0	30.0	0.5	1050000
openai/gpt-5.5-pro	30.0	180.0		1050000
openai/gpt-5.6-luna	0.2	1.2	0.02	1050000
openai/gpt-5.6-luna-pro	0.2	1.2	0.02	1050000
openai/gpt-5.6-sol	2.0	10.0	0.2	1050000
openai/gpt-5.6-sol-pro	2.0	10.0	0.2	1050000
openai/gpt-5.6-terra	2.0	12.0	0.2	1050000
openai/gpt-5.6-terra-pro	2.0	12.0	0.2	1050000
openai/gpt-6-astra	10.0	50.0	1.0	1050000
openai/gpt-6-astra-pro	10.0	50.0	1.0	1050000
openai/gpt-6-luna	0.1	0.5	0.01	1050000
openai/gpt-6-luna-pro	0.1	0.5	0.01	1050000
openai/gpt-6-sol	2.0	10.0	0.2	1050000
openai/gpt-6-sol-pro	2.0	10.0	0.2	1050000
openai/gpt-audio	2.5	10.0		128000
openai/gpt-audio-mini	0.6	2.4		128000
openai/gpt-chat-latest	5.0	30.0	0.5	400000
openai/gpt-oss-120b	0.15	0.6	0.075	131072
openai/gpt-oss-20b	0.018	0.09		131072
openai/gpt-oss-safeguard-20b	0.075	0.3	0.0375	131072
openai/o1	15.0	60.0	7.5	200000
openai/o1-pro	150.0	600.0		200000
openai/o3	2.0	8.0	0.5	200000
openai/o3-mini	1.1	4.4	0.55	200000
openai/o3-mini-high	1.1	4.4	0.55	200000
openai/o3-pro	20.0	80.0		200000
openai/o4-mini	1.1	4.4	0.275	200000
openai/o4-mini-high	1.1	4.4	0.275	200000
qwen/qwen-2.5-72b-instruct	0.36	0.4		32768
qwen/qwen-2.5-7b-instruct	0.1	0.2		32768
qwen/qwen-2.5-coder-32b-instruct	0.66	1.0		32768
qwen/qwen-plus	0.26	0.78	0.052	1000000
qwen/qwen-plus-2025-07-28	0.26	0.78		1000000
qwen/qwen2.5-vl-72b-instruct	0.8	1.0	0.4	128000
qwen/qwen3-14b	0.12	0.24		131072
